time,open,high,low,close,volume,RSI,MACD,MACD_Hist,MACD_Signal
1999-12-17,100.87,102.0,98.5,100.0,4419700,54.6261,0.0243,-0.0174,0.0417
1999-12-20,99.56,99.62,96.62,98.0,2535600,51.9417,0.0211,-0.0165,0.0376
1999-12-21,98.19,103.06,97.94,102.5,2746400,57.0553,0.0211,-0.0132,0.0343
1999-12-22,102.87,104.56,98.75,99.94,2920300,53.5636,0.0193,-0.012,0.0313
1999-12-23,101.81,104.25,101.06,103.5,2049400,57.4622,0.0198,-0.0092,0.029
1999-12-27,104.37,104.44,99.25,99.31,1503500,51.9355,0.0174,-0.0092,0.0267
1999-12-28,99.12,99.62,95.0,98.19,2210500,50.5363,0.0147,-0.0096,0.0243
1999-12-29,96.81,102.19,95.5,100.69,2540200,53.5448,0.0139,-0.0083,0.0222
1999-12-30,102.19,104.12,99.62,100.31,1849500,53.017,0.0129,-0.0074,0.0203
1999-12-31,100.94,102.87,99.5,102.81,1462600,56.0843,0.0135,-0.0055,0.019
2000-01-03,104.87,112.5,101.69,111.94,4783900,65.0564,0.0193,0.0003,0.019
2000-01-04,108.25,110.62,101.19,102.5,4574800,52.9996,0.0179,-0.0009,0.0188
2000-01-05,103.75,110.56,103.0,104.0,6949300,54.4443,0.0175,-0.001,0.0186
2000-01-06,106.12,107.0,95.0,95.0,6856900,45.4225,0.0116,-0.0055,0.0172
2000-01-07,96.5,101.0,95.5,99.5,4113700,49.8933,0.0096,-0.0061,0.0157
2000-01-10,102.0,102.25,94.75,97.75,4509500,48.2384,0.0068,-0.0071,0.0139
2000-01-11,95.94,99.37,90.5,92.75,3942400,43.7711,0.0015,-0.0099,0.0114
2000-01-12,95.0,95.5,86.5,87.19,8714900,39.4014,-0.006,-0.0139,0.0079
2000-01-13,94.48,98.75,92.5,96.75,9220400,48.8557,-0.006,-0.0112,0.0052
2000-01-14,100.0,102.25,99.37,100.44,3485500,51.9705,-0.0037,-0.0071,0.0034
2000-01-18,101.0,106.0,100.44,103.94,4099800,54.7834,0.0002,-0.0025,0.0027
2000-01-19,105.62,108.75,103.37,106.56,5336100,56.822,0.0048,0.0017,0.0032
2000-01-20,115.5,121.5,113.5,113.5,16349400,61.7423,0.0126,0.0076,0.005
2000-01-21,114.25,114.25,110.19,111.31,4427900,59.4404,0.0172,0.0098,0.0075
2000-01-24,108.44,112.75,105.12,106.25,3936400,54.3945,0.0176,0.0081,0.0095
2000-01-25,105.0,113.12,102.37,112.25,4438800,58.8548,0.0213,0.0095,0.0119
2000-01-26,110.0,114.19,109.75,110.19,3278200,56.8008,0.0228,0.0087,0.0141
2000-01-27,108.81,113.0,107.0,110.0,3037000,56.6045,0.0235,0.0076,0.0159
2000-01-28,108.19,110.87,100.62,101.62,3779900,48.6258,0.0188,0.0023,0.0165
2000-01-31,101.0,103.87,94.5,103.75,6265000,50.5344,0.0161,-0.0003,0.0164
2000-02-01,104.0,105.0,100.0,100.25,2839600,47.4172,0.0117,-0.0037,0.0155
2000-02-02,100.75,102.12,97.0,98.81,4144600,46.1557,0.0073,-0.0065,0.0139
2000-02-03,100.31,104.25,100.25,103.31,4242800,50.5804,0.0065,-0.0059,0.0124
2000-02-04,103.94,110.0,103.62,108.0,3797500,54.7536,0.0086,-0.003,0.0116
2000-02-07,108.0,114.25,105.94,114.06,3938100,59.5113,0.0138,0.0017,0.0121
2000-02-08,114.0,116.12,111.25,114.87,3648600,60.115,0.0182,0.0049,0.0133
2000-02-09,114.12,117.12,112.44,112.62,2672900,57.5481,0.0201,0.0054,0.0146
2000-02-10,112.87,113.87,110.0,113.5,2705200,58.2981,0.0219,0.0058,0.0161
2000-02-11,113.62,114.12,108.25,108.75,1895100,52.8687,0.0202,0.0032,0.0169
2000-02-14,109.31,115.87,108.62,115.81,3281600,58.9831,0.0228,0.0047,0.0181
2000-02-15,115.25,119.94,115.19,119.0,4337000,61.4187,0.0266,0.0068,0.0198
2000-02-16,117.75,118.12,112.12,114.12,3377200,55.9458,0.0263,0.0052,0.0211
2000-02-17,115.19,115.5,113.12,114.87,2584800,56.5861,0.0262,0.0041,0.0221
2000-02-18,114.62,115.37,110.87,111.25,2084300,52.6115,0.0237,0.0012,0.0224
2000-02-22,110.12,116.94,106.69,113.81,3770500,55.0178,0.023,0.0004,0.0225
2000-02-23,113.23,119.0,111.0,116.25,4224100,57.2461,0.0236,0.0009,0.0227
2000-02-24,117.31,119.12,111.75,115.2,3361000,55.9614,0.0232,0.0004,0.0228
2000-02-25,114.81,117.0,110.12,110.37,2224500,50.3624,0.0197,-0.0025,0.0222
2000-02-28,110.12,115.0,108.37,113.25,2931500,53.3589,0.0185,-0.003,0.0215
2000-02-29,113.56,117.25,112.56,114.62,3294300,54.7581,0.0182,-0.0027,0.0208
2000-03-01,118.56,132.06,118.5,130.31,9616100,66.9763,0.0271,0.0051,0.0221
2000-03-02,127.0,127.94,120.69,122.0,2779100,58.0364,0.0289,0.0054,0.0234
2000-03-03,124.87,128.23,120.0,128.0,2887200,61.9822,0.0335,0.0081,0.0254
2000-03-06,126.0,129.13,125.0,125.69,1880000,59.6565,0.0354,0.0079,0.0274
2000-03-07,126.44,127.44,121.12,122.87,2437600,56.8519,0.0347,0.0058,0.0289
2000-03-08,122.87,123.94,118.56,122.0,2421700,55.9776,0.0333,0.0035,0.0298
2000-03-09,120.87,125.0,118.25,122.25,2470700,56.1861,0.0319,0.0017,0.0302
2000-03-10,121.69,127.94,121.0,125.75,2219700,59.1065,0.0326,0.0019,0.0307
2000-03-13,122.12,126.5,119.5,121.31,2713900,54.1735,0.0301,-0.0005,0.0306
2000-03-14,121.22,124.25,114.0,114.25,3826600,47.3993,0.0236,-0.0056,0.0292
2000-03-15,115.62,120.25,114.12,116.25,3960800,49.3322,0.0194,-0.0079,0.0272
2000-03-16,117.31,122.0,114.5,121.56,3375900,54.1496,0.019,-0.0065,0.0256
