time,open,high,low,close,lag_1,lag_2,rolling_mean_7,rolling_std_7,daily_return,volume,RSI,MACD,MACD_Hist,MACD_Signal
1999-12-28,99.12,99.62,95.0,98.19,99.31,103.5,100.2057142857143,2.080046931704963,-1.127781693686436,2210500,50.5363,0.0147,-0.0096,0.0243
1999-12-29,96.81,102.19,95.5,100.69,98.19,99.31,100.30428571428571,2.085016843599886,2.5460841226194075,2540200,53.5448,0.0139,-0.0083,0.0222
1999-12-30,102.19,104.12,99.62,100.31,100.69,98.19,100.63428571428572,1.826279069062347,-0.3773959678220251,1849500,53.017,0.0129,-0.0074,0.0203
1999-12-31,100.94,102.87,99.5,102.81,100.31,100.69,100.67857142857143,1.8819708514518192,2.492273950752666,1462600,56.0843,0.0135,-0.0055,0.019
2000-01-03,104.87,112.5,101.69,111.94,102.81,100.31,102.39285714285714,4.59988664456606,8.880459099309391,4783900,65.0564,0.0193,0.0003,0.019
2000-01-04,108.25,110.62,101.19,102.5,111.94,102.81,102.25,4.575234055943665,-8.433089154904415,4574800,52.9996,0.0179,-0.0009,0.0188
2000-01-05,103.75,110.56,103.0,104.0,102.5,111.94,102.92,4.413486905686562,1.4634146341463428,6949300,54.4443,0.0175,-0.001,0.0186
2000-01-06,106.12,107.0,95.0,95.0,104.0,102.5,102.46428571428571,5.095307832188547,-8.653846153846157,6856900,45.4225,0.0116,-0.0055,0.0172
2000-01-07,96.5,101.0,95.5,99.5,95.0,104.0,102.2942857142857,5.183460417979666,4.73684210526315,4113700,49.8933,0.0096,-0.0061,0.0157
2000-01-10,102.0,102.25,94.75,97.75,99.5,95.0,101.92857142857143,5.431182893168636,-1.7587939698492483,4509500,48.2384,0.0068,-0.0071,0.0139
2000-01-11,95.94,99.37,90.5,92.75,97.75,99.5,100.49142857142859,6.403099323950932,-5.115089514066495,3942400,43.7711,0.0015,-0.0099,0.0114
2000-01-12,95.0,95.5,86.5,87.19,92.75,97.75,96.95571428571428,5.835914258973904,-5.994609164420483,8714900,39.4014,-0.006,-0.0139,0.0079
2000-01-13,94.48,98.75,92.5,96.75,87.19,92.75,96.13428571428572,5.306087250014038,10.964560155981196,9220400,48.8557,-0.006,-0.0112,0.0052
2000-01-14,100.0,102.25,99.37,100.44,96.75,87.19,95.6257142857143,4.54214654520248,3.8139534883721016,3485500,51.9705,-0.0037,-0.0071,0.0034
2000-01-18,101.0,106.0,100.44,103.94,100.44,96.75,96.90285714285714,5.494007991396034,3.4846674631620944,4099800,54.7834,0.0002,-0.0025,0.0027
2000-01-19,105.62,108.75,103.37,106.56,103.94,100.44,97.91142857142856,6.589125962704059,2.5206850105830236,5336100,56.822,0.0048,0.0017,0.0032
2000-01-20,115.5,121.5,113.5,113.5,106.56,103.94,100.16142857142856,8.832133431531751,6.512762762762758,16349400,61.7423,0.0126,0.0076,0.005
2000-01-21,114.25,114.25,110.19,111.31,113.5,106.56,102.81285714285714,9.0202581527835,-1.9295154185022034,4427900,59.4404,0.0172,0.0098,0.0075
2000-01-24,108.44,112.75,105.12,106.25,111.31,113.5,105.53571428571429,5.831423088586138,-4.545862905399334,3936400,54.3945,0.0176,0.0081,0.0095
2000-01-25,105.0,113.12,102.37,112.25,106.25,111.31,107.75,4.788952564670809,5.647058823529405,4438800,58.8548,0.0213,0.0095,0.0119
2000-01-26,110.0,114.19,109.75,110.19,112.25,106.25,109.14285714285714,3.5716836099414517,-1.8351893095768346,3278200,56.8008,0.0228,0.0087,0.0141
2000-01-27,108.81,113.0,107.0,110.0,110.19,112.25,110.00857142857141,2.737404053548111,-0.17242944005807503,3037000,56.6045,0.0235,0.0076,0.0159
2000-01-28,108.19,110.87,100.62,101.62,110.0,110.19,109.30285714285716,4.081452822569158,-7.618181818181813,3779900,48.6258,0.0188,0.0023,0.0165
2000-01-31,101.0,103.87,94.5,103.75,101.62,110.0,107.91000000000001,4.0740520369774975,2.0960440858098783,6265000,50.5344,0.0161,-0.0003,0.0164
2000-02-01,104.0,105.0,100.0,100.25,103.75,101.62,106.33,4.640908675392536,-3.3734939759036187,2839600,47.4172,0.0117,-0.0037,0.0155
2000-02-02,100.75,102.12,97.0,98.81,100.25,103.75,105.26714285714286,5.444638691060296,-1.4364089775561029,4144600,46.1557,0.0073,-0.0065,0.0139
2000-02-03,100.31,104.25,100.25,103.31,98.81,100.25,103.99000000000001,4.500314803803568,4.554194919542565,4242800,50.5804,0.0065,-0.0059,0.0124
2000-02-04,103.94,110.0,103.62,108.0,103.31,98.81,103.67714285714285,4.051171494295283,4.539734778821014,3797500,54.7536,0.0086,-0.003,0.0116
2000-02-07,108.0,114.25,105.94,114.06,108.0,103.31,104.25714285714285,5.227209945039904,5.611111111111122,3938100,59.5113,0.0138,0.0017,0.0121
2000-02-08,114.0,116.12,111.25,114.87,114.06,108.0,106.15,6.384097430334258,0.7101525512887896,3648600,60.115,0.0182,0.0049,0.0133
2000-02-09,114.12,117.12,112.44,112.62,114.87,114.06,107.41714285714285,6.7007654147013485,-1.9587359623922662,2672900,57.5481,0.0201,0.0054,0.0146
