time,open,high,low,close,lag_1,lag_2,rolling_mean_7,rolling_std_7,daily_return,volume,RSI,MACD,MACD_Hist,MACD_Signal
1999-12-28,118.75,118.81,117.06,117.5,119.12,117.44,116.49857142857142,2.0773976394472387,-1.3599731363331147,12295500,75.2622,2.3195,0.5222,1.7973
1999-12-29,116.94,118.37,116.81,117.94,117.5,119.12,116.88285714285715,2.05663733868107,0.374468085106372,8724600,75.6687,2.3114,0.4113,1.9001
1999-12-30,117.87,119.94,117.12,117.62,117.94,117.5,117.57857142857142,0.9533524806602103,-0.27132440223841536,11180000,74.7072,2.2707,0.2965,1.9742
1999-12-31,117.5,117.75,116.25,116.75,117.62,117.94,117.70428571428572,0.7199503951166369,-0.7396701241285553,6258800,72.0276,2.1915,0.1738,2.0177
2000-01-03,117.37,118.62,112.0,116.56,116.75,117.62,117.56142857142858,0.8421881929717276,-0.16274089935760516,26614200,71.425,2.0997,0.0657,2.0341
2000-01-04,113.56,117.12,112.25,112.62,116.56,116.75,116.87285714285714,2.0550645917319774,-3.380233356211393,27059500,60.1821,1.9065,-0.1021,2.0086
2000-01-05,111.12,116.37,109.37,113.81,112.62,116.56,116.11428571428571,2.0673320741385424,1.0566506837151435,32029800,62.1215,1.7628,-0.1966,1.9594
2000-01-06,112.19,113.87,108.37,110.0,113.81,112.62,115.04285714285713,2.974103306240484,-3.3476847377207686,27488300,53.1891,1.5358,-0.3388,1.8747
2000-01-07,108.62,112.25,107.31,111.44,110.0,113.81,114.11428571428571,2.9332340351158552,1.3090909090909042,31006800,55.7773,1.3762,-0.3988,1.775
2000-01-10,113.44,113.69,111.37,112.25,111.44,110.0,113.34714285714287,2.5393287451983517,0.7268485283560722,22481800,57.2104,1.2554,-0.4156,1.6711
2000-01-11,111.5,114.25,108.69,109.37,112.25,111.44,112.29285714285716,2.4202872714185526,-2.5657015590200394,23371800,50.8949,1.0753,-0.4766,1.5519
2000-01-12,108.5,108.87,104.44,105.81,109.37,112.25,110.75714285714285,2.660098458614648,-3.2550059431288303,33266200,44.374,0.8338,-0.5745,1.4083
2000-01-13,104.37,108.62,101.5,107.81,105.81,109.37,110.07000000000001,2.7192829937320284,1.890180512238926,41572000,48.3758,0.6846,-0.5789,1.2636
2000-01-14,107.19,113.94,105.75,112.25,107.81,105.81,109.84714285714287,2.407770159890136,4.118356367683895,36708200,55.9517,0.6698,-0.475,1.1448
2000-01-18,111.81,116.5,111.75,115.31,112.25,107.81,110.60571428571428,3.1774090972723057,2.7260579064587898,40741800,60.2782,0.7262,-0.3349,1.0611
2000-01-19,110.5,111.5,106.0,107.0,115.31,112.25,109.97142857142856,3.4172231834801963,-7.206660306998525,48784100,46.8268,0.5565,-0.4036,0.9602
2000-01-20,107.06,109.69,105.87,106.0,107.0,115.31,109.07857142857142,3.5370535222198534,-0.9345794392523366,28174900,45.5107,0.3926,-0.4541,0.8466
2000-01-21,107.0,107.25,103.25,103.75,106.0,107.0,108.2757142857143,4.059170100496178,-2.1226415094339646,34208100,42.6088,0.204,-0.5141,0.7181
2000-01-24,103.8,105.69,100.81,101.25,103.75,106.0,107.62428571428573,4.816145959661331,-2.409638554216864,31798800,39.5884,-0.008,-0.5809,0.5729
2000-01-25,101.0,103.87,99.56,102.81,101.25,103.75,106.91,5.143653046878932,1.5407407407407536,29911600,42.3353,-0.1353,-0.5666,0.4313
2000-01-26,102.44,103.5,99.12,99.37,102.81,101.25,105.07000000000001,5.218234056332362,-3.3459780177025555,24682500,38.2094,-0.3186,-0.5999,0.2813
2000-01-27,99.89,101.19,97.25,98.75,99.37,102.81,102.70428571428572,3.143468663450526,-0.6239307638120195,31827400,37.5001,-0.474,-0.6042,0.1302
2000-01-28,98.12,100.25,97.25,98.25,98.75,99.37,101.45428571428572,2.879188873872082,-0.5063291139240533,29112700,36.905,-0.6026,-0.5863,-0.0163
2000-01-31,97.62,98.19,94.87,97.87,98.25,98.75,100.29285714285716,2.3266407421124056,-0.38676844783714914,36597100,36.4319,-0.706,-0.5517,-0.1543
2000-02-01,98.5,103.25,97.69,102.94,97.87,98.25,100.17714285714285,2.1385876514319833,5.180341269030331,35098300,46.3203,-0.6535,-0.3994,-0.2541
2000-02-02,102.44,103.94,100.5,100.81,102.94,97.87,100.11428571428571,2.1080469408346025,-2.069166504760045,24957800,43.2747,-0.6576,-0.3228,-0.3348
2000-02-03,102.06,104.19,100.12,103.62,100.81,102.94,100.23,2.2946532054612447,2.787421882749719,24593000,48.121,-0.5838,-0.1992,-0.3846
2000-02-04,104.37,108.0,104.14,106.56,103.62,100.81,101.25714285714285,3.254144610010041,2.8372900984365845,27682700,52.6764,-0.4467,-0.0496,-0.397
2000-02-07,106.81,106.87,104.25,106.62,106.56,103.62,102.38142857142859,3.5861559204410725,0.05630630630630851,20002900,52.7676,-0.3326,0.0515,-0.3841
2000-02-08,106.44,110.0,106.44,109.94,106.62,106.56,104.05142857142857,4.035345621593592,3.1138623147626943,28114500,57.6307,-0.1574,0.1814,-0.3388
2000-02-09,109.44,109.44,103.87,104.0,109.94,106.62,104.92714285714285,3.0035685125403977,-5.402947062033836,27545000,48.0903,-0.1652,0.1389,-0.3041
2000-02-10,103.89,106.56,102.5,106.0,104.0,109.94,105.36428571428571,2.886554215339733,1.9230769230769162,27263900,51.0298,-0.12,0.1473,-0.2672
2000-02-11,104.87,104.87,99.12,99.94,106.0,104.0,105.24000000000001,3.1242705815385174,-5.716981132075471,57779500,43.0712,-0.233,0.0274,-0.2604
2000-02-14,101.23,101.75,99.06,99.62,99.94,106.0,104.66857142857144,3.7691883678560427,-0.3201921152691578,40514300,42.6925,-0.3269,-0.0532,-0.2737
2000-02-15,99.75,100.0,98.12,98.56,99.62,99.94,103.5257142857143,4.278531123110931,-1.0640433647861935,35513800,41.3944,-0.4229,-0.1194,-0.3036
2000-02-16,99.25,100.19,97.12,97.62,98.56,99.62,102.24,4.538105331523309,-0.9537337662337664,32601300,40.2263,-0.5166,-0.1704,-0.3462
2000-02-17,98.5,99.69,97.14,99.62,97.62,98.56,100.76571428571428,3.0530359597339896,2.048760499897573,40171700,43.8565,-0.5346,-0.1508,-0.3839
2000-02-18,100.0,100.06,94.87,95.06,99.62,97.62,99.48857142857143,3.3317434303551248,-4.5773940975707745,39531500,38.1652,-0.6554,-0.2173,-0.4382
2000-02-22,95.12,97.12,92.81,93.81,95.06,99.62,97.74714285714286,2.4228957487939953,-1.3149589732800337,33148100,36.7571,-0.7736,-0.2683,-0.5052
2000-02-23,93.5,95.75,92.06,94.25,93.81,95.06,96.9342857142857,2.5172329857925546,0.46903315211597185,37923600,37.6294,-0.8464,-0.2729,-0.5735
2000-02-24,94.25,95.87,92.0,94.75,94.25,93.81,96.23857142857143,2.316199678866467,0.5305039787798504,34866600,38.6647,-0.8814,-0.2464,-0.6351
2000-02-25,94.69,94.7,90.5,91.31,94.75,94.25,95.20285714285716,2.695104910052785,-3.630606860158314,32650700,34.4301,-0.9839,-0.2791,-0.7048
2000-02-28,90.25,92.12,88.12,91.56,91.31,94.75,94.33714285714287,2.7617368586073905,0.27379257474537955,38065900,34.9874,-1.0468,-0.2736,-0.7732
2000-02-29,91.75,91.75,88.87,89.37,91.56,91.31,92.87285714285714,2.14157818976036,-2.3918741808650057,29218700,32.3904,-1.1384,-0.2921,-0.8463
2000-03-01,89.62,94.09,88.94,90.81,89.37,91.56,92.26571428571427,2.0169932832714172,1.6112789526686822,53444900,35.7665,-1.1615,-0.2522,-0.9093
2000-03-02,91.81,95.37,91.12,93.37,90.81,89.37,92.20285714285716,1.9670851047994633,2.8190727893403933,53466300,41.3716,-1.1031,-0.155,-0.9481
2000-03-03,94.75,98.87,93.87,96.12,93.37,90.81,92.47,2.3759278889169693,2.9452715004819607,50717600,46.7474,-0.9767,-0.0229,-0.9538
2000-03-06,96.0,97.37,90.12,90.62,96.12,93.37,91.88000000000001,2.223270863690128,-5.722014148980437,46804700,39.0378,-1.0026,-0.039,-0.9635
2000-03-07,96.12,97.5,91.94,92.87,90.62,96.12,92.10285714285715,2.2347685509221282,2.482895608033542,67530500,43.1671,-0.9558,0.0062,-0.962
2000-03-08,93.81,96.19,91.0,95.56,92.87,90.62,92.67428571428572,2.5604873048104237,2.8965220200279918,47145000,47.726,-0.8417,0.0962,-0.9379
2000-03-09,95.31,100.0,95.0,100.0,95.56,92.87,94.19285714285715,3.315165728817179,4.646295521138555,44099400,54.2493,-0.6329,0.244,-0.8769
2000-03-10,99.56,102.5,99.5,101.0,100.0,95.56,95.64857142857143,3.7859760017351443,1.0000000000000009,42794500,55.5934,-0.4374,0.3516,-0.789
2000-03-13,97.62,100.25,97.5,98.0,101.0,100.0,96.31000000000002,3.7255111506118834,-2.970297029702973,30915900,50.7741,-0.3534,0.3485,-0.7019
2000-03-14,98.62,99.25,95.12,95.12,98.0,101.0,96.16714285714285,3.753081908182122,-2.9387755102040725,36744600,46.5979,-0.3548,0.2777,-0.6325
2000-03-15,94.56,96.62,93.69,95.37,95.12,98.0,96.84571428571428,2.9199078589506984,0.2628259041211001,26604000,47.0054,-0.3457,0.2294,-0.5751
2000-03-16,95.94,96.69,93.25,95.37,95.37,95.12,97.20285714285714,2.4709560517184346,0.0,38650400,47.0054,-0.3346,0.1924,-0.527
2000-03-17,95.25,99.5,94.5,99.37,95.37,95.37,97.74714285714286,2.4683848584699954,4.194191045402107,40580800,53.5783,-0.2232,0.2431,-0.4662
2000-03-20,98.75,99.75,96.5,97.37,99.37,95.37,97.37142857142858,2.259656526786264,-2.0126798832645676,23886500,50.2241,-0.1828,0.2268,-0.4096
2000-03-21,96.75,103.12,96.5,102.75,97.37,99.37,97.62142857142858,2.7677092126367655,5.525315805689623,40824400,57.8655,-0.016,0.3148,-0.3308
2000-03-22,102.81,105.62,101.12,103.25,102.75,97.37,98.37142857142858,3.5014588796263784,0.48661800486617945,46987900,58.5031,0.1272,0.3665,-0.2392
2000-03-23,106.81,112.87,106.62,111.87,103.25,102.75,100.76428571428572,5.84694466407559,8.348668280871685,74112000,67.6046,0.4512,0.5523,-0.1012
2000-03-24,112.62,115.0,109.56,111.69,111.87,103.25,103.0957142857143,6.549103900898349,-0.16090104585680942,56098400,67.2728,0.6954,0.6372,0.0582
2000-03-27,107.77,108.25,103.94,104.06,111.69,111.87,104.33714285714287,5.594636462081983,-6.8314083624317234,55717000,54.9592,0.6901,0.5056,0.1845
2000-03-28,103.62,107.44,102.37,104.31,104.06,111.69,105.04285714285713,5.158193205266473,0.24024601191621198,40557200,55.2482,0.6843,0.3998,0.2845
2000-03-29,105.19,108.94,105.12,107.19,104.31,104.06,106.44571428571429,3.9073258423243007,2.761000862812768,32181900,58.5483,0.7431,0.3669,0.3762
2000-03-30,106.19,108.62,102.5,103.37,107.19,104.31,106.53428571428572,3.8155377827284886,-3.563765276611619,32089200,52.9688,0.6863,0.2481,0.4382
2000-03-31,106.0,108.25,104.12,106.25,103.37,107.19,106.96285714285715,3.5439747661146237,2.7861081551707523,32140700,56.3465,0.7052,0.2136,0.4916
