time,open,high,low,close,volume,RSI,MACD,MACD_Hist,MACD_Signal
1999-12-17,116.62,117.12,113.62,115.25,52949400,81.8759,1.5938,0.87,0.7238
1999-12-20,114.81,115.0,111.19,112.75,19716900,75.2746,1.7587,0.8279,0.9308
1999-12-21,112.37,116.62,110.62,115.87,28723000,77.692,1.945,0.8113,1.1336
1999-12-22,116.3,118.0,115.12,117.56,19282600,78.8956,2.1106,0.7815,1.329
1999-12-23,117.25,119.25,116.75,117.44,15514200,78.5714,2.2133,0.7074,1.5059
1999-12-27,118.44,119.25,116.12,119.12,16101100,79.8214,2.3101,0.6434,1.6667
1999-12-28,118.75,118.81,117.06,117.5,12295500,75.2622,2.3195,0.5222,1.7973
1999-12-29,116.94,118.37,116.81,117.94,8724600,75.6687,2.3114,0.4113,1.9001
1999-12-30,117.87,119.94,117.12,117.62,11180000,74.7072,2.2707,0.2965,1.9742
1999-12-31,117.5,117.75,116.25,116.75,6258800,72.0276,2.1915,0.1738,2.0177
2000-01-03,117.37,118.62,112.0,116.56,26614200,71.425,2.0997,0.0657,2.0341
2000-01-04,113.56,117.12,112.25,112.62,27059500,60.1821,1.9065,-0.1021,2.0086
2000-01-05,111.12,116.37,109.37,113.81,32029800,62.1215,1.7628,-0.1966,1.9594
2000-01-06,112.19,113.87,108.37,110.0,27488300,53.1891,1.5358,-0.3388,1.8747
2000-01-07,108.62,112.25,107.31,111.44,31006800,55.7773,1.3762,-0.3988,1.775
2000-01-10,113.44,113.69,111.37,112.25,22481800,57.2104,1.2554,-0.4156,1.6711
2000-01-11,111.5,114.25,108.69,109.37,23371800,50.8949,1.0753,-0.4766,1.5519
2000-01-12,108.5,108.87,104.44,105.81,33266200,44.374,0.8338,-0.5745,1.4083
2000-01-13,104.37,108.62,101.5,107.81,41572000,48.3758,0.6846,-0.5789,1.2636
2000-01-14,107.19,113.94,105.75,112.25,36708200,55.9517,0.6698,-0.475,1.1448
2000-01-18,111.81,116.5,111.75,115.31,40741800,60.2782,0.7262,-0.3349,1.0611
2000-01-19,110.5,111.5,106.0,107.0,48784100,46.8268,0.5565,-0.4036,0.9602
2000-01-20,107.06,109.69,105.87,106.0,28174900,45.5107,0.3926,-0.4541,0.8466
2000-01-21,107.0,107.25,103.25,103.75,34208100,42.6088,0.204,-0.5141,0.7181
2000-01-24,103.8,105.69,100.81,101.25,31798800,39.5884,-0.008,-0.5809,0.5729
2000-01-25,101.0,103.87,99.56,102.81,29911600,42.3353,-0.1353,-0.5666,0.4313
2000-01-26,102.44,103.5,99.12,99.37,24682500,38.2094,-0.3186,-0.5999,0.2813
2000-01-27,99.89,101.19,97.25,98.75,31827400,37.5001,-0.474,-0.6042,0.1302
2000-01-28,98.12,100.25,97.25,98.25,29112700,36.905,-0.6026,-0.5863,-0.0163
2000-01-31,97.62,98.19,94.87,97.87,36597100,36.4319,-0.706,-0.5517,-0.1543
2000-02-01,98.5,103.25,97.69,102.94,35098300,46.3203,-0.6535,-0.3994,-0.2541
2000-02-02,102.44,103.94,100.5,100.81,24957800,43.2747,-0.6576,-0.3228,-0.3348
2000-02-03,102.06,104.19,100.12,103.62,24593000,48.121,-0.5838,-0.1992,-0.3846
2000-02-04,104.37,108.0,104.14,106.56,27682700,52.6764,-0.4467,-0.0496,-0.397
2000-02-07,106.81,106.87,104.25,106.62,20002900,52.7676,-0.3326,0.0515,-0.3841
2000-02-08,106.44,110.0,106.44,109.94,28114500,57.6307,-0.1574,0.1814,-0.3388
2000-02-09,109.44,109.44,103.87,104.0,27545000,48.0903,-0.1652,0.1389,-0.3041
2000-02-10,103.89,106.56,102.5,106.0,27263900,51.0298,-0.12,0.1473,-0.2672
2000-02-11,104.87,104.87,99.12,99.94,57779500,43.0712,-0.233,0.0274,-0.2604
2000-02-14,101.23,101.75,99.06,99.62,40514300,42.6925,-0.3269,-0.0532,-0.2737
2000-02-15,99.75,100.0,98.12,98.56,35513800,41.3944,-0.4229,-0.1194,-0.3036
2000-02-16,99.25,100.19,97.12,97.62,32601300,40.2263,-0.5166,-0.1704,-0.3462
2000-02-17,98.5,99.69,97.14,99.62,40171700,43.8565,-0.5346,-0.1508,-0.3839
2000-02-18,100.0,100.06,94.87,95.06,39531500,38.1652,-0.6554,-0.2173,-0.4382
2000-02-22,95.12,97.12,92.81,93.81,33148100,36.7571,-0.7736,-0.2683,-0.5052
2000-02-23,93.5,95.75,92.06,94.25,37923600,37.6294,-0.8464,-0.2729,-0.5735
2000-02-24,94.25,95.87,92.0,94.75,34866600,38.6647,-0.8814,-0.2464,-0.6351
2000-02-25,94.69,94.7,90.5,91.31,32650700,34.4301,-0.9839,-0.2791,-0.7048
2000-02-28,90.25,92.12,88.12,91.56,38065900,34.9874,-1.0468,-0.2736,-0.7732
2000-02-29,91.75,91.75,88.87,89.37,29218700,32.3904,-1.1384,-0.2921,-0.8463
2000-03-01,89.62,94.09,88.94,90.81,53444900,35.7665,-1.1615,-0.2522,-0.9093
2000-03-02,91.81,95.37,91.12,93.37,53466300,41.3716,-1.1031,-0.155,-0.9481
2000-03-03,94.75,98.87,93.87,96.12,50717600,46.7474,-0.9767,-0.0229,-0.9538
2000-03-06,96.0,97.37,90.12,90.62,46804700,39.0378,-1.0026,-0.039,-0.9635
2000-03-07,96.12,97.5,91.94,92.87,67530500,43.1671,-0.9558,0.0062,-0.962
2000-03-08,93.81,96.19,91.0,95.56,47145000,47.726,-0.8417,0.0962,-0.9379
2000-03-09,95.31,100.0,95.0,100.0,44099400,54.2493,-0.6329,0.244,-0.8769
2000-03-10,99.56,102.5,99.5,101.0,42794500,55.5934,-0.4374,0.3516,-0.789
2000-03-13,97.62,100.25,97.5,98.0,30915900,50.7741,-0.3534,0.3485,-0.7019
2000-03-14,98.62,99.25,95.12,95.12,36744600,46.5979,-0.3548,0.2777,-0.6325
2000-03-15,94.56,96.62,93.69,95.37,26604000,47.0054,-0.3457,0.2294,-0.5751
2000-03-16,95.94,96.69,93.25,95.37,38650400,47.0054,-0.3346,0.1924,-0.527
2000-03-17,95.25,99.5,94.5,99.37,40580800,53.5783,-0.2232,0.2431,-0.4662
2000-03-20,98.75,99.75,96.5,97.37,23886500,50.2241,-0.1828,0.2268,-0.4096
2000-03-21,96.75,103.12,96.5,102.75,40824400,57.8655,-0.016,0.3148,-0.3308
2000-03-22,102.81,105.62,101.12,103.25,46987900,58.5031,0.1272,0.3665,-0.2392
2000-03-23,106.81,112.87,106.62,111.87,74112000,67.6046,0.4512,0.5523,-0.1012
2000-03-24,112.62,115.0,109.56,111.69,56098400,67.2728,0.6954,0.6372,0.0582
2000-03-27,107.77,108.25,103.94,104.06,55717000,54.9592,0.6901,0.5056,0.1845
2000-03-28,103.62,107.44,102.37,104.31,40557200,55.2482,0.6843,0.3998,0.2845
2000-03-29,105.19,108.94,105.12,107.19,32181900,58.5483,0.7431,0.3669,0.3762
2000-03-30,106.19,108.62,102.5,103.37,32089200,52.9688,0.6863,0.2481,0.4382
2000-03-31,106.0,108.25,104.12,106.25,32140700,56.3465,0.7052,0.2136,0.4916
2000-04-03,94.44,96.5,90.0,90.87,130059100,39.8764,0.3316,-0.1281,0.4596
2000-04-04,91.56,92.0,84.94,88.56,90622200,38.0762,-0.0221,-0.3854,0.3633
2000-04-05,88.25,88.5,85.87,86.37,41443800,36.3986,-0.3531,-0.5731,0.22
2000-04-06,87.87,88.0,85.27,86.0,33210700,36.1091,-0.6175,-0.67,0.0525
2000-04-07,87.0,89.37,85.0,89.06,41306800,40.3353,-0.742,-0.6356,-0.1064
2000-04-10,88.62,88.62,86.0,86.06,30342700,37.7022,-0.9053,-0.6391,-0.2662
2000-04-11,85.12,86.06,83.5,83.87,35980900,35.8618,-1.077,-0.6487,-0.4284
2000-04-12,82.12,82.25,78.75,79.37,76501900,32.3657,-1.3106,-0.7058,-0.6048
2000-04-13,80.87,82.25,79.0,79.25,47158100,32.2753,-1.4817,-0.7015,-0.7802
2000-04-14,79.12,79.5,73.25,74.12,75608900,28.5994,-1.7257,-0.7564,-0.9693
2000-04-17,74.25,76.0,73.0,75.87,59886100,31.4669,-1.8539,-0.7077,-1.1462
2000-04-18,76.5,81.94,75.87,80.56,45897300,38.5855,-1.8173,-0.5368,-1.2804
2000-04-19,81.44,81.5,78.12,78.69,26857700,36.938,-1.8141,-0.4269,-1.3872
2000-04-20,78.62,79.87,77.5,78.94,26193700,37.3233,-1.7847,-0.3181,-1.4667
2000-04-24,67.25,68.0,65.0,66.62,156822900,28.1846,-2.0461,-0.4636,-1.5826
2000-04-25,68.75,69.5,67.62,69.37,79758700,32.1766,-2.1596,-0.4616,-1.698
2000-04-26,70.0,71.12,67.37,68.0,53545600,31.2448,-2.2577,-0.4478,-1.8099
2000-04-27,67.44,69.94,67.37,69.81,38834900,33.9656,-2.2641,-0.3634,-1.9008
2000-04-28,70.75,71.0,68.25,69.75,39041300,33.9177,-2.2448,-0.2753,-1.9696
2000-05-01,72.87,74.0,71.69,73.44,53905500,39.5643,-2.1129,-0.1146,-1.9982
2000-05-02,72.81,73.5,69.5,69.87,48858100,36.3299,-2.0737,-0.0604,-2.0133
2000-05-03,70.37,70.81,68.81,70.56,27677400,37.3952,-2.0023,0.0088,-2.0111
2000-05-04,70.31,71.25,69.31,70.44,21658600,37.2784,-1.9265,0.0677,-1.9942
2000-05-05,70.25,71.81,69.87,71.12,18201100,38.4517,-1.8284,0.1327,-1.961
2000-05-08,70.94,71.37,69.69,69.81,18093800,37.0151,-1.7631,0.1584,-1.9214
2000-05-09,70.19,70.44,67.5,67.81,30389200,34.873,-1.7412,0.1442,-1.8854
2000-05-10,67.75,67.87,65.75,66.19,33870000,33.1972,-1.7444,0.1128,-1.8572
2000-05-11,66.62,68.12,65.75,67.87,29195400,36.5998,-1.6854,0.1374,-1.8228
2000-05-12,68.44,69.75,68.25,68.81,18943000,38.4877,-1.5967,0.1809,-1.7776
2000-05-15,69.0,69.44,68.0,69.37,16949800,39.6408,-1.4952,0.2259,-1.7211
2000-05-16,69.56,70.62,69.06,69.5,24205300,39.9224,-1.3955,0.2606,-1.656
2000-05-17,68.87,69.12,67.25,67.69,26621000,37.3126,-1.3461,0.2479,-1.594
2000-05-18,68.06,68.06,65.87,66.19,26820200,35.2557,-1.3293,0.2118,-1.5411
2000-05-19,65.37,65.94,64.5,65.06,33289000,33.7465,-1.3288,0.1698,-1.4986
2000-05-22,65.12,65.25,62.44,64.19,34977500,32.5897,-1.3349,0.131,-1.4659
2000-05-23,63.88,65.56,63.06,63.19,28981600,31.2632,-1.3491,0.0934,-1.4425
2000-05-24,63.13,66.56,63.0,65.56,42741200,37.732,-1.2863,0.125,-1.4113
2000-05-25,64.56,64.75,61.13,61.5,47174400,32.1502,-1.3229,0.0707,-1.3936
2000-05-26,62.06,62.63,60.38,61.44,27911000,32.0746,-1.3379,0.0446,-1.3825
2000-05-30,62.44,64.12,62.0,63.38,34268200,37.2101,-1.2864,0.0768,-1.3633
2000-05-31,63.64,63.7,62.06,62.56,27484100,35.9722,-1.2517,0.0892,-1.341
2000-06-01,64.37,66.0,63.81,64.56,47253600,41.1178,-1.1608,0.1441,-1.3049
2000-06-02,66.0,66.75,65.0,66.31,40231600,45.263,-1.0331,0.2175,-1.2506
2000-06-05,66.02,68.37,66.0,66.87,32200000,46.5594,-0.9074,0.2745,-1.1819
2000-06-06,68.19,69.87,67.81,69.62,49509500,52.5083,-0.7306,0.3611,-1.0917
2000-06-07,69.25,70.75,67.12,70.5,38155300,54.2628,-0.5619,0.4238,-0.9857
2000-06-08,71.56,72.12,68.25,68.81,47382800,50.411,-0.4652,0.4164,-0.8816
2000-06-09,69.62,69.69,68.31,68.81,17855100,50.411,-0.3841,0.398,-0.7821
2000-06-12,69.0,69.0,66.37,66.87,24630300,46.0584,-0.3642,0.3343,-0.6985
2000-06-13,66.75,68.0,66.12,67.87,22144600,48.5256,-0.3197,0.3031,-0.6227
2000-06-14,69.81,71.0,69.5,70.5,39996200,54.429,-0.2161,0.3253,-0.5414
2000-06-15,70.81,72.69,70.62,72.37,32796300,58.1079,-0.0863,0.3641,-0.4504
2000-06-16,72.62,73.12,71.5,72.56,34355300,58.4747,0.0211,0.3772,-0.3561
2000-06-19,72.56,73.81,72.0,73.69,23302400,60.6798,0.133,0.3913,-0.2583
2000-06-20,73.87,75.25,73.75,74.94,31137500,63.0193,0.25,0.4067,-0.1566
2000-06-21,77.0,82.19,76.94,80.69,80199800,71.4377,0.4811,0.5102,-0.0291
2000-06-22,81.37,82.0,79.31,79.87,43657600,69.0245,0.6364,0.5324,0.104
2000-06-23,79.94,80.06,77.0,77.69,24905800,62.9376,0.6969,0.4743,0.2226
2000-06-26,77.5,80.12,77.5,79.5,24143500,65.6463,0.7811,0.4468,0.3343
2000-06-27,79.25,80.12,78.37,78.81,15535600,63.734,0.8211,0.3894,0.4317
2000-06-28,79.0,80.06,78.62,78.94,18729600,63.9471,0.8463,0.3317,0.5146
2000-06-29,78.25,78.94,77.06,77.19,19224500,58.9274,0.8131,0.2388,0.5743
2000-06-30,77.06,80.0,76.69,80.0,26178200,63.8363,0.8474,0.2185,0.6289
2000-07-03,79.69,80.06,79.37,80.0,7867400,63.8363,0.8645,0.1885,0.676
2000-07-05,79.87,79.87,78.25,78.5,17412200,59.4384,0.831,0.124,0.707
2000-07-06,78.87,81.69,78.5,80.94,23936600,63.8065,0.8557,0.1189,0.7368
2000-07-07,81.27,82.87,80.56,82.0,27076600,65.5425,0.8914,0.1237,0.7677
2000-07-10,80.69,81.31,79.37,79.44,26344900,58.2728,0.846,0.0626,0.7833
2000-07-11,78.81,80.5,78.5,79.12,18582400,57.4156,0.7928,0.0076,0.7852
2000-07-12,78.25,81.0,77.19,80.31,29185100,59.7849,0.7715,-0.011,0.7825
2000-07-13,78.81,80.0,77.37,79.94,40421600,58.6914,0.7369,-0.0364,0.7734
2000-07-14,79.5,79.75,78.44,78.94,25590300,55.7251,0.6767,-0.0773,0.754
2000-07-17,78.25,79.56,77.5,78.19,26996400,53.5394,0.6032,-0.1206,0.7239
2000-07-18,77.62,79.5,77.44,78.5,35308600,54.3367,0.5465,-0.1419,0.6884
2000-07-19,76.06,77.5,72.81,73.12,69962300,41.1424,0.3627,-0.2605,0.6233
2000-07-20,73.44,75.25,73.12,74.81,27345300,45.6102,0.2564,-0.2935,0.5499
2000-07-21,74.75,75.0,71.87,72.31,28050300,40.6896,0.1084,-0.3532,0.4616
2000-07-24,72.06,72.12,70.0,70.56,28082800,37.6293,-0.0521,-0.411,0.3588
2000-07-25,70.81,71.0,68.37,69.0,32094300,35.0953,-0.2159,-0.4598,0.2439
2000-07-26,69.06,69.5,67.25,67.81,42702300,33.2556,-0.3712,-0.492,0.1209
2000-07-27,67.87,70.12,67.5,69.37,37168800,37.8547,-0.45,-0.4567,0.0067
2000-07-28,70.94,71.81,69.62,69.69,37822800,38.7865,-0.4987,-0.4043,-0.0944
2000-07-31,70.19,71.12,69.25,69.81,35141900,39.1549,-0.5282,-0.3471,-0.1811
2000-08-01,69.94,70.06,68.19,68.69,23581800,36.9213,-0.573,-0.3135,-0.2595
2000-08-02,68.56,70.44,68.5,69.37,24134600,39.1895,-0.5848,-0.2602,-0.3246
2000-08-03,68.19,70.37,68.12,70.25,27271700,42.0914,-0.5656,-0.1928,-0.3728
2000-08-04,69.44,69.87,68.19,69.12,19053700,39.4857,-0.572,-0.1594,-0.4126
